SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-3-2017,Multi-Family (2-4 Unit),1305 66th St,Berkeley,CA,94702,745000,4,3.0,Berkeley,2057,3500,1914,140,362,,Sold,,,http://www.redfin.com/CA/Berkeley/1305-66th-St-94702/home/1120041,EBRD/CCAR/Bay East,40772790,N,Y,37.8497081,-122.2824779
PAST SALE,,Multi-Family (2-4 Unit),1643 Prince St,Berkeley,CA,94703,1700000,,8.0,,4012,7846,1960,,424,,,,,http://www.redfin.com/CA/Berkeley/1643-Prince-St-94703/home/657562,,,N,Y,37.8522203,-122.2746592
PAST SALE,,Single Family Residential,650 66th St,Oakland,CA,94609,425000,2,1.0,,1208,3570,1910,,352,,,,,http://www.redfin.com/CA/Oakland/650-66th-St-94609/home/2025534,,,N,Y,37.8519621,-122.2645516
PAST SALE,May-12-2017,Single Family Residential,649 65Th St,Oakland,CA,94609,1430000,3,2.0,N.Oakland,1758,4800,1918,131,813,,Sold,,,http://www.redfin.com/CA/Oakland/649-65th-St-94609/home/531631,EBRD/CCAR/Bay East,40775107,Y,Y,37.8503111,-122.2642748
PAST SALE,June-21-2017,Condo/Co-op,186 City Limits Cir,Oakland,CA,94608,665000,2,1.5,Nobe,1033,,2005,91,644,246,Sold,,,http://www.redfin.com/CA/Oakland/186-City-Limits-Cir-94608/home/2111930,EBRD/CCAR/Bay East,40783595,N,Y,37.848958,-122.287791
PAST SALE,June-30-2017,Condo/Co-op,1329 66th Unit A,Berkeley,CA,94702,805000,2,2.0,Berkeley,980,4914,1926,82,821,95,Sold,,,http://www.redfin.com/CA/Berkeley/1329-66th-St-94702/unit-A/home/115705464,EBRD/CCAR/Bay East,40784480,N,Y,37.8499474,-122.2813788
PAST SALE,,Multi-Family (2-4 Unit),6140 Market St,Oakland,CA,94608,875000,7,6.0,,4274,5794,1954,,205,,,,,http://www.redfin.com/CA/Oakland/6140-Market-St-94608/home/1910378,,,N,Y,37.8460315,-122.2762469
PAST SALE,June-12-2017,Single Family Residential,580 66Th St,Oakland,CA,94609,1300000,3,2.5,Berkeley Border,1463,,2008,100,889,175,Sold,,,http://www.redfin.com/CA/Oakland/580-66th-St-94609/home/1288876,EBRD/CCAR/Bay East,40780813,Y,Y,37.852018,-122.262881
PAST SALE,July-14-2017,Condo/Co-op,1329 66th St Unit B,Berkeley,CA,94702,765000,2,2.0,Berkeley,845,4914,1926,68,905,95,Sold,,,http://www.redfin.com/CA/Berkeley/1329-66th-St-94702/unit-B/home/142501045,EBRD/CCAR/Bay East,40789450,N,Y,37.8499474,-122.2813788
PAST SALE,,Multi-Family (2-4 Unit),6521 San Pablo Ave,Oakland,CA,94608,5510000,21,22.0,,17439,6133,2010,,316,,,,,http://www.redfin.com/CA/Oakland/6521-San-Pablo-Ave-94608/home/22691195,,,N,Y,37.848402,-122.2858409
